Date,Calories,Steps,Distance in miles
10/1/23,7,336,0.14
10/2/23,151,7248,3.02
10/3/23,159,7632,3.18
10/4/23,83,3984,1.66
10/5/23,196,9408,3.92
10/6/23,12,576,0.24
10/7/23,9,432,0.18
10/8/23,276,13248,5.52
10/9/23,47,2256,0.94
10/10/23,6,288,0.12
10/11/23,194,9312,3.88
10/12/23,134,6432,2.68
10/13/23,86,4128,1.72
10/14/23,83,3984,1.66
10/15/23,184,8832,3.68
10/16/23,194,9312,3.88
10/17/23,150,7200,3
10/18/23,106,5088,2.12
10/19/23,22,1056,0.44
10/20/23,79,3792,1.58
10/21/23,161,7728,3.22
10/22/23,24,1152,0.48
10/23/23,155,7440,3.1
10/24/23,158,7584,3.16
10/25/23,15,720,0.3
10/26/23,205,9840,4.1
10/27/23,84,4032,1.68
10/28/23,100,4800,2
10/29/23,4,192,0.08
10/30/23,202,9696,4.04
10/31/23,131,6288,2.62
11/1/23,256,12288,5.12
11/2/23,115,5520,2.3
11/3/23,12,576,0.24
11/4/23,207,9936,4.14
11/5/23,14,672,0.28
11/6/23,136,6528,2.72
11/7/23,171,8208,3.42
11/8/23,124,5952,2.48
11/9/23,242,11616,4.84
11/10/23,12,576,0.24
11/11/23,142,6816,2.84
11/12/23,9,432,0.18
11/13/23,129,6192,2.58
11/14/23,9,432,0.18
11/15/23,130,6240,2.6
11/16/23,281,13488,5.62
11/17/23,24,1152,0.48
11/18/23,342,16416,6.84
11/19/23,6,288,0.12
11/20/23,133,6384,2.66
11/21/23,5,240,0.1
11/22/23,12,576,0.24
11/23/23,128,6144,2.56
11/24/23,242,11616,4.84
11/25/23,104,4992,2.08
11/26/23,8,384,0.16
11/27/23,146,7008,2.92
11/28/23,33,1584,0.66
11/29/23,157,7536,3.14
11/30/23,153,7344,3.06
12/1/23,21,1008,0.42
12/2/23,64,3072,1.28
12/3/23,42,2016,0.84
12/4/23,149,7152,2.98
12/5/23,23,1104,0.46
12/6/23,148,7104,2.96
12/7/23,49,2352,0.98
12/8/23,38,1824,0.76
12/9/23,50,2400,1
12/10/23,10,480,0.2
12/11/23,26,1248,0.52
12/12/23,26,1248,0.52
12/13/23,24,1152,0.48
12/14/23,171,8208,3.42
12/15/23,38,1824,0.76
12/16/23,3,144,0.06
12/17/23,2,96,0.04
12/18/23,132,6336,2.64
12/19/23,36,1728,0.72
12/20/23,170,8160,3.4
12/21/23,66,3168,1.32
12/22/23,67,3216,1.34
12/23/23,64,3072,1.28
12/24/23,41,1968,0.82
12/25/23,12,576,0.24
12/26/23,148,7104,2.96
12/27/23,38,1824,0.76
12/28/23,9,432,0.18
12/29/23,219,10512,4.38
12/30/23,40,1920,0.8
12/31/23,48,2304,0.96
1/1/24,4,192,0.08
1/2/24,30,1440,0.6
1/3/24,66,3168,1.32
1/4/24,18,864,0.36
1/5/24,61,2928,1.22
1/6/24,268,12864,5.36
1/7/24,27,1296,0.54
1/8/24,119,5712,2.38
1/9/24,15,720,0.3
1/10/24,94,4512,1.88
1/11/24,39,1872,0.78
1/12/24,58,2784,1.16
1/13/24,187,8976,3.74
1/14/24,0,0,0
1/15/24,43,2064,0.86
1/16/24,10,480,0.2
1/17/24,22,1056,0.44
1/18/24,31,1488,0.62
1/19/24,117,5616,2.34
1/20/24,125,6000,2.5
1/21/24,92,4416,1.84
1/22/24,38,1824,0.76
1/23/24,32,1536,0.64
1/24/24,58,2784,1.16
1/25/24,182,8736,3.64
1/26/24,162,7776,3.24
1/27/24,17,816,0.34
1/28/24,55,2640,1.1
1/29/24,8,384,0.16
1/30/24,221,10608,4.42
1/31/24,44,2112,0.88
2/1/24,174,8352,3.48
2/2/24,291,13968,5.82
2/3/24,109,5232,2.18
2/4/24,23,1104,0.46
2/5/24,44,2112,0.88
2/6/24,150,7200,3
2/7/24,39,1872,0.78
2/8/24,203,9744,4.06
2/9/24,387,18576,7.74
2/10/24,336,16128,6.72
2/11/24,187,8976,3.74
2/12/24,87,4176,1.74
2/13/24,9,432,0.18
2/14/24,13,624,0.26
2/15/24,175,8400,3.5
2/16/24,92,4416,1.84
2/17/24,9,432,0.18
2/18/24,2,96,0.04
2/19/24,3,144,0.06
2/20/24,192,9216,3.84
2/21/24,36,1728,0.72
2/22/24,55,2640,1.1
2/23/24,4,192,0.08
2/24/24,39,1872,0.78
2/25/24,82,3936,1.64
2/26/24,158,7584,3.16
2/27/24,201,9648,4.02
2/28/24,42,2016,0.84
2/29/24,299,14352,5.98
3/1/24,128,6144,2.56
3/2/24,31,1488,0.62
3/3/24,7,336,0.14
3/4/24,34,1632,0.68
3/5/24,167,8016,3.34
3/6/24,11,528,0.22
3/7/24,182,8736,3.64
3/8/24,216,10368,4.32
3/9/24,32,1536,0.64
3/10/24,136,6528,2.72
3/11/24,9,432,0.18
3/12/24,193,9264,3.86
3/13/24,79,3792,1.58
3/14/24,112,5376,2.24
